tracking_timestamp_us,left_yaw_rads_cpf,right_yaw_rads_cpf,pitch_rads_cpf,depth_m,left_yaw_low_rads_cpf,right_yaw_low_rads_cpf,pitch_low_rads_cpf,left_yaw_high_rads_cpf,right_yaw_high_rads_cpf,pitch_high_rads_cpf,tx_left_eye_cpf,ty_left_eye_cpf,tz_left_eye_cpf,tx_right_eye_cpf,ty_right_eye_cpf,tz_right_eye_cpf,session_uid
562416555,0.6178125143051147,0.8765372037887573,0.0112690161913633,0.1776661073173794,0.5693859457969666,0.841434121131897,-0.0222528502345085,0.663453221321106,0.9135725498199464,0.0538751222193241,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
562516555,0.6101395487785339,0.8554443120956421,0.0090571790933609,0.1899630273983193,0.5653979778289795,0.8221840858459473,-0.0229589529335498,0.6521196961402893,0.8912607431411743,0.050475887954235,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
562616555,0.6092842817306519,0.84617680311203,0.0108625814318656,0.1976687543707088,0.5654791593551636,0.8133330345153809,-0.0207451879978179,0.6506004333496094,0.8815135955810547,0.0516143441200256,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
562716555,0.5414602160453796,0.6803521513938904,-0.0307798739522695,0.3710706059027129,0.5011755228042603,0.6555497646331787,-0.0616551600396633,0.578004777431488,0.7075639963150024,0.0053691361099481,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
562816555,0.0678082406520843,-0.054580558091402,-0.1512306183576584,0.5200342344937385,-0.1043866351246833,-0.3003766238689422,-0.3201456665992737,0.2169079482555389,0.1723269075155258,0.0545529350638389,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
562916555,0.0604009367525577,0.1388220489025116,-0.2116587162017822,0.817020950059325,0.0287861637771129,0.115610547363758,-0.2443372011184692,0.0869566723704338,0.1641904711723327,-0.1528196483850479,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
563016555,0.0564875081181526,0.1337618827819824,-0.2295314371585846,0.8328398245849644,0.0374889746308326,0.1146313697099685,-0.2565674185752868,0.0749329105019569,0.1542371660470962,-0.1805936843156814,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
563116555,0.0994919463992118,0.1743544489145279,-0.1856922507286071,0.8475828259938274,0.0836287215352058,0.1573502123355865,-0.2103508710861206,0.1157094910740852,0.1934470534324646,-0.1422695070505142,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
563216555,0.1329872608184814,0.2204491347074508,-0.174759954214096,0.7192668617037257,0.117381177842617,0.2051645368337631,-0.1978311389684677,0.1484248787164688,0.2374635934829712,-0.1388365030288696,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
563316555,-0.0332666113972663,0.0632240772247314,-0.2739940285682678,0.6776035683758038,-0.0550481490790843,0.0333289317786693,-0.3065088987350464,-0.0125714763998985,0.0950000509619712,-0.2130881547927856,0.0315,0.0,0.0,-0.0315,0.0,0.0,53a6a57a-f04e-4a87-ba6e-e4f57da3e3a6
